index,latency_s,arrival_time,sent_gps_time,payload
67,1,1773983609,1773983608,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:13:28"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
68,1,1773983613,1773983612,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:13:32"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
69,1,1773983619,1773983618,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:13:38"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
70,1,1773983623,1773983622,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:13:42"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
71,1,1773983629,1773983628,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:13:48"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
72,1,1773983633,1773983632,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:13:52"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
73,2,1773983640,1773983638,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:13:58"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
74,2,1773983644,1773983642,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:14:02"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
75,1,1773983650,1773983649,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:14:09"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
76,2,1773983654,1773983652,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:14:12"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
77,2,1773983660,1773983658,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:14:18"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
78,2,1773983664,1773983662,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:14:22"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
79,2,1773983670,1773983668,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:14:28"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
80,1,1773983674,1773983673,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:14:33"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
